workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
hash_table_size65536_seed0_loads,HashedContext-H16,8192,8320,0.0,0.9950643838641842,0.8746666666666667,True,hash,16,0.7,5000,0.001524390243902439,0.0,2728.0,2578.0,13,10496,138.85466666666667,208282,292,0,0.0,1479,1479
hash_table_size65536_seed0_loads,Markov-N-H16,8192,8192,0.0,0.999990350098429,0.0013333333333333333,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,16,138.17066666666668,207256,0,0,0.0,2,2
hash_table_size65536_seed0_loads,VLDP,8192,8192,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,SPP,8192,8192,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,GMC,8192,8192,0.0,0.9996141491506458,0.05333333333333334,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,3,640,138.22266666666667,207334,0,0,0.0,80,80
hash_table_size65536_seed0_loads,HashedContext-H16,16384,16512,0.0,0.9936522547919723,0.8773333333333333,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,33,10528,139.052,208578,0,0,0.0,1431,1431
hash_table_size65536_seed0_loads,Markov-N-H16,16384,16384,0.0,0.9999758755952697,0.0033333333333333335,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,40,138.17266666666666,207259,0,0,0.0,7,7
hash_table_size65536_seed0_loads,VLDP,16384,16384,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,SPP,16384,16384,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,GMC,16384,16384,0.0,1.0006807877825148,0.0033333333333333335,True,hash,16,0.7,5000,0.2,0.0,4806.0,4656.0,0,40,138.07533333333333,207113,146,0,0.0,5,5
hash_table_size65536_seed0_loads,HashedContext-H16,32768,32896,0.0,0.9952937560628908,0.7453333333333333,True,hash,16,0.7,5000,0.0008944543828264759,0.0,1357.0,1207.0,33,8944,138.82266666666666,208234,146,0,0.0,1200,1200
